Règle 1,"Ce document décrit des retours d'expérience par plusieurs autidteurs, mentionnés entre crochet [] (dans la majorité des cas). Les écoutes consistent à monter un cable secteur avec différents types de connecteurs (Viborg, Furutech, Oyade, Neotech), installer le cable et donner un ressenti. Chaque auditeur utilise principalement son propre système ou parfois celui d'un autre testeur.",,,,,,,,,,,,,,,,,
Règle 2,Il s'agit de comparer les connecteurs entre-eux Schucko ou IEC sur cable TTS par défaut. Cela est préciser si on parle d'un test avec un autre cable d'une autre marque. Le tableau permet de donner un avis selon la position du connecteur en tant que fiche Schuko ou fiche IEC.,,,,,,,,,,,,,,,,,
Règle 3,"Le tableau après la liste des auditeurs et systèmes, donne en première colonne les modèles des schuko employées, tandis que la première ligne donne la même liste de modèles mais pour les IEC. Au croisement du tableau Schuko modèle A  avec IEC modèle A,  on fournit dans cette cellule la signature sonore du connecteur en général et résultats ou tendances globales si testé sur un câble.",,,,,,,,,,,,,,,,,
Règle 4,"Par convention, lorsqu'on désigne une combinaison 512R-512S par exemple, cela désigne un cable secteur monté avec un connecteur Schuko 512R et une IEC 512S. On place toujours le connecteur Schuko en premier et l'IEC en 2ième séparé par un tiret.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Auditeurs et Système,"[PA] Gout pour les écoutes relaxantes,  le son tube chaleureux. Les points recherchés, les timbres variés, le son immersif, la délicatesse, la musicalité qui vous emporte. Expérience sur pas mal de systèmes personnels, des écoutes sur salon, concerts de temps en temps. Education musicale piano et chant. 
Système: Ampli  Luxman LX-380 moderne Tubes et plutot droit, de base pas aussi chaleureux qu'un Single Ended/300B par ex., élégance, justesse, rigueur japonaise avec chaleur si équipé NOS.
Sources vynile et dématérialisation DAC Holo R2R très naturel.
Enceintes colonnes Living Voice","[FA] Gout pour les écoutes plutot chaleureuses, non démonstrative, sans fatigue sur la durée....
Système Transistor particulierement chaleureux (Accoustic Art), Sources vynile et dématérialisation DAC R2R très naturel. Enceintes colonnes JMR.","[AL] Gout pour les écoutes sans fatigue sur la durée et chaleureuses. Réalise de nombreuses sessions d'écoutes sur beaucoup de systèmes différents pour en discerner les différents type de sons. Par expérience, tolère mal l'écoute prolongée des amplificateurs Classe D. Possède 2 systèmes.
Système1 - Home-Cinéma haut-de-gamme, ampli Arcam, enceintes colonne Tannoy modernes.
Système2: Pré+Ampli Tube AirTight ATM1S dernière version, source vynile, enceintes Tannoy modernes. ","[RM] Gout pour les écoutes vivantes, transparentes, équilibrées (niveau du grave à l'aigu) au cordeau, plutot claire que trop chaleureuse. Exercé à la justesse des timbres de par ses formations sur des instruments de musique. Education conservatoire violon.
Système vintage, Pré+Ampli puissance HDG Yamaha M01 (90), Enceintes HDG (90) JMR.","[PRO1] Professionel 1, revendeur Hi-Fi professionnel. Spécialiste en hifi moyenne gamme et haut de gamme. Sélectionne rigoureusement sa gamme de produit en choisissant les plus qualitatifs à chaque niveau de prix. L'optimisation fait partie intégrante du processus. Démonstration sur sytème très équilibré, proposant une présentation fluide et plutôt douce mais précise et de grande classe.","[PRO2] Revendeur Hi-Fi professionnel. Spécialiste en hifi haut de gamme en quête perpétuelle de perfection et d'optimisation du moindre maillon d'un système. Démonstration sur système équilibré dans un auditorium très optimisé. Ecoute vivante, fine et transparente, tout défaut est immédiatement mis en évidence. ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IEC,,,,,,,,,,,,,,,,
,Shuko/IEC,Viborg 501Cu,Viborg 501G,Viborg 502/512Cu,Viborg  502/512G,Viborg 502/512R,Viborg 502/512S,Viborg 503Cu,Viborg 503G,Viborg 503R,Viborg 503S,Furutech FI28/FI38G,Furutech FI28/FI38R,Furutech FI48R NCF,"Furutech FI50R NCF Rhodium, boitier Acier/Carbon","Neothech Gold au Graphène ""NeoG""",Charlin Carbon Contacts en bronze plaqué Or,Oyaide C004
Shucko,Viborg 501Cu,"Fiches jugées un peu ""sèches"" et plutot claires mais pas ininteressante pour autant. Par exemple, s'associe plutot bien avec un cable Furutech FP3TS20 au caractéristiques un peu ""molles"" par nature.","La déclinaison Gold ""G"" apporte peu d'évolution par rapport à la pure Cuivre ""Cu"" mais semble plus douce.",,"[FA] Combinaison qui sonne un peu sec et claire, perte de nuance et de matiere dans les mediums. ",,,[FA][PR] Combinaison 501Cu-503Cu non testée mais qui ne semble pas très pertinente au regard des caractéristiques de ces 2 connecteurs.,,,,,,,,,,
,Viborg 501G,"La déclinaison Gold ""G"" apporte peu d'évolution par rapport à la pure Cuivre ""Cu"" mais semble plus douce.","Une fiche basique à ne pas négliger. le rendu, sur cable Furutech S22N, est pas mal:  dynamique et plus clair que la Viborg 502. Globelement la série Viborg 501 a moins de nuance que la série 502.",,[FA] Il y a bien des différences (constat sur Furutech S22)! La Viborg 502G a plus de medium et plus de matière que 501G qui semble peut-être plus dyamique/transparente,,,,,,,,,,,,,
,Viborg 502/512G,,[FA] Il y a bien des différences (constat sur Furutech S22)! La Viborg 502G a plus de medium et plus de matière que 501G qui semble peut-être plus dyamique/transparente,,"[PA] Par son équilibre plutot satisfaisant, semble pouvoir se placer presque partout. On retrouve, douceur, équilibre et un certain rafinement.
[FA] Peut etre considéré comme la reference pour les évaluations, non pas comme le meilleur cable mais comme un point de repère en terme de neutralité.",[AL] Très belle combinaison (optimale?). Un TTS équilibré avec des fins de notes allongées par rapport à un 503G/502G.,"[PA] En remplacement d'une version TTS montée en 503G-502R de 70cm (donc assez courte), on distingue une plus grande variété de timbres. C'est étonnant de tout à coup discerner de nouveaux instruments/subtilités. L'écoute est fluide et douce et il y a de la matière partout. Le grave semble moins massif qu'avec le cable G-R pré-cité. Une réussite, ce cable est particulièrement raffiné et subtil. 

[PA][AL][PRO1] Ce cable de 1m monté sur le streamer dans un système évolué, emprunt de délicatesse devant 7 auditeurs (dont 2 professionnels) en remplaçement d'un cable de marque audiophile appréciée d'une valeur de plus de 900€. Dés le branchement du cable, le silence s'installe dans l'écoute et aussi chez les auditeurs! Tout le monde écoute, il se passe quelque chose. Equilibre, rapidité, transparence, les ressentis sont très positifs. Ce cable TTS 502G-512S nous immerge dans la musique.",,,,"[FA] Son un peu plus transparent, ouvert, dynamique qu'en full 502G-502G. Combinaison intéressante si un systeme a un rendu un peu trop chaud/rond avec un besoin de dynamisme.","[FA] Sur source numérique (DAC Holo Cyan2) la combinaison de cette schuko 502G avec une FI38G en IEC à un rendu chaleureux, rond et  nuancé mais un peu moins de dynamisme que certaines autres combinaisons. Potentiellement recommandable sur  des systemes un peu trop clairs. Dans un premier temps, sur mon système  nativement chaleureux (ampli AccusticArt Power ES), ce cable a été retenu pour le DAC avec pas mal de satisfaction. Mais après de nouveaux essais avec un cable TTS montés en schuko Viborg 512S et IEC Charlin Carbon, cela fait ressortir un petit manque d'équilibre de cette version Gold-Gold. L'équilibre sera peut-être trouvé avec une Schuko Rhodium?","[FA] un cran plus transparent et dynamique que full FI28/38G, avec toujours de la nuance. une association intéressante qui va plus loin que le TTS tout en 502G. Potentiellement recommandable sur  des systemes un peu trop clairs ou manquant de nuance.",,"Combinaison 502G-FI50R recommandée par Magic Mastering sur le cable Furutech TCS31, nommé Anaconda. Le TCS 31 apporte une certaine épaisseur, l'IEC NCF apporte du controle, les timbres sont élégants. En comparaison avec un TTS monté avec ces mêmes connecteurs, le cable TTS va plus loin en terme de recul du bruit, silence entre les notes et le découpage/matérialisation de la scène sonore. Il parait aussi y avoir plus d'air entre les instruments.",,"[FA] Un son proche des furutech FI 28/38G, avec une certaine richesse des mediums et de la nuance mais un cran en dessous des Furutech en fluidité et détourage. ",
,Viborg 502/512Cu,,,,,,,,,,,,,,,,,
,Viborg 502/512R,,,,"[FA][PA] Cette configuration 502R -502G, Pourrait-elle devenir la combinaison TTS tout terrain? L'équilibre est presque parfait. En effet le Rhodium apporte, sans excès, un petit coté lumineux, dans le haut du spectre, appréciable.

[AL] TTS version 1m, trouve sa place parfaitement sur mon système home-cinéma en apportant tout ce qu'on peut attendre d'un très très bon cable. La dynamique et là, une certaine extension dans le grave très appréciable, le système est gagne en autorité mais sait aussi exprimer les moindres nuance avec une scène sonore parfaitement découpée.",,"[PA] Belle écoute sur mon système, tout est là, ecoute vivante, pas de mise en avant particulière. C'est une combinaison qui fonctionne.

[PRO2] Sur un système très sensible, les diverses expérimentations avec ce cable établient que le câble est d'un très haut niveau, avec un bel équilibre mais plutôt sur le coté lumineux/ouvert dans le haut (IEC Argent?). La conclusion, donnée avec une oreille très expérimentée, est qu'il s'agit d'un très bon cable.",,,,,,,,,,,
