,"Ce document décrit des retours d'expérience par plusieurs autidteurs, mentionnés entre crochet [] (dans la majorité des cas). Les écoutes consistent à monter un cable secteur avec différents types de connecteurs (Viborg, Furutech, Oyade), installer le cable et donner un ressenti. Chaque auditeur utilise principalement son propre système ou parfois celui de personnes extérieures.",,,,,,,,,,,,,,,,,
,Il s'agit de comparer les connecteurs entre-eux Schucko ou IEC principalement sur cable TTS. Le tableau permet de donner un avis selon la position du connecteur en tant que fiche Schuko ou fiche IEC.,,,,,,,,,,,,,,,,,
,Au croisement du tableau Schuko A avec IEC A: on fournit dans cette cellule la signature sonore du connecteur en général et résultats ou tendances globales si testé sur un câble.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Auditeurs et Système,"[PA] Gout pour les écoutes relaxantes,  le son tube chaleureux. Les points recherchés, les timbres variés, le son immersif, la délicatesse, la musicalité qui vous emporte. Expérience sur pas mal de systèmes personnels, des écoutes sur salon, concerts de temps en temps. Education musicale piano et chant. 
Système: Ampli  Luxman LX-380 moderne Tubes et plutot droit, de base pas aussi chaleureux qu'un Single Ended/300B par ex., élégance, justesse, rigueur japonaise avec chaleur si équipé NOS.
Sources vynile et dématérialisation DAC Holo R2R très naturel.
Enceintes colonnes Living Voice","[FA] Gout pour les écoutes plutot chaleureuses, non démonstrative, sans fatigue sur la durée....
Système Transistor mais chaleureux, Sources vynile et dématérialisation DAC R2R très naturel. Enceintes colonnes JMR.","[AL] Gout pour les écoutes plutot chaleureuses, non démonstrative, sans fatigue sur la durée. Expérience de nombreuses écoutes sur de nombreux systèmes
Système2 - HC HDG, ampli Arcam, enceintes colonne Tannoy modernes.
Système1: Pré+Ampli Tube AirTight ATM1S dernière version, source vynile ","[RM] Gout pour les écoutes vivantes, transparentes, équilibrées (niveau du grave à l'aigu) au cordeau, plutot claire que trop chaleureuse. Exercé à la justesse des timbres de par ses formations sur des instruments de musique. Education conservatoire violon.
Système vintage, Pré+Ampli puissance HDG Yamaha M01 (90), Enceintes HDG (90) JMR.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IEC,,,,,,,,,,,,,,,,
,Shuko/IEC,Viborg 501Cu,Viborg 501G,Viborg 502/512Cu,Viborg  502/512G,Viborg 502/512R,Viborg 502/512S,Viborg 503Cu,Viborg 503G,Viborg 503R,Viborg 503S,Furutech FI28/FI38G,Furutech FI28/FI38R,Furutech FI48R NCF,Furutech FI50R NCF Carbon,Neothech Gold au Graphène,Charlin Carbon Contacts en bronze plaqué Or,Oyaide C004
Shucko,Viborg 501Cu,"Fiches jugées un peu ""sèches"" et plutot claires mais pas ininteressante pour autant. S'associe plutot bien avec un cable Furutech FP3TS20 au caractéristiques un peu ""molles"" par nature.",La G apporte peu d'évolution mais semble plus douce.,,"[FA] combinaison qui sonne un peu sec et claire, perte de nuance et de matiere dans les mediums. ",,,#REF!,,,,,,,,,,
,Viborg 501G,La G apporte peu d'évolution mais semble plus douce.,"Une fiche basique à ne pas négliger. le rendu, sur S22N, est pas mal:  dynamique et plus clair que la 502. Gloabelement la série Viborg 501 ont moins de nuance que la série 502",,[FA]: Il y a bien des différences (constat sur S22)! La 502G a plus de medium et plus de matière que 501G qui est plus dyamique/transparente,,,,,,,,,,,,,
,Viborg 502/512G,,[FA]: Il y a bien des différences (constat sur S22)! La 502G a plus de medium et plus de matière que 501G qui est plus dyamique/transparente,,"Se placerait presque partout, douceur, équilibre, rafinement
[FA] Peut etre considéré comme la reference pour les évaluations",[AL] Très belle combinaison (optimale?). Un TTS équilibré avec des fins de notes allongées / à un 503G/502G.,"[PA] En remplacement d'un 503G-502R de 70cm, on distingue une plus grande variété de timbres. C'est étonnant de tout à coup discerner de nouveaux instruments/subtilités. L'écute est fluide et douce et il y a de la matière partout. Le grave semble moins massif qu'avec le cable G-R pré-cité. Une réussite, ce cable est particulièrement raffiné et subtil. ",,,,"[FA] Son un peu plus transparent, ouvert, dynamique qu'en full 502GG. Combinaison intéressante si un systeme à un rendu un peu trop chaud/rond avec un besoin de dynamisme.","[FA] la combinaison avec une FI38G à un rendu plus chaleureux, plus rond, plus nuancé. un peu moins de dynamisme dans cette combinaison. Potentiellement recommandable sur  des systemes un peu trop clairs.","[FA] un cran plus transparent et dynamique que full FI28/38G, avec toujours de la nuance. une association intéressante qui va plus loin que le TTS tout en 502G. Potentiellement recommandable sur  des systemes un peu trop clairs ou manquant de nuance.",,,,"[FA] Son proche des furutech FI 28/38G, avec un son riche en medium et de la nuance mais un petit cran en dessous des Furutech en fluidité et détourage. ",
,Viborg 502/512Cu,,,,,,,,,,,,,,,,,
,Viborg 502/512R,,,,Peu devenir le connecteur fétiche tout terrain?,,,,,,,,,,,,,
,Viborg 502/512S,,,,,,,,,,,,,,,,"[RM] Profondeur ++
Grave profond, puissant, maîtrisé MAIS peut-être un peu trop présent. 
Voix (femme) sublimée.
Douceur des aigus (et médium haut), précision, dynamisme, ils galopent !
Cependant perte de précision dans les médiums.
Ne marche pas avec Torn, la voix de Leonard Cohen prend un coup....
Son rond, réconfortant, aigus top. Perte de précision des médiums.","[PA] Epaisseur, transparence, vie. Très bonne association (cable 1m25). Sur pré-phono Phasemation on perçoit d'abord un surcroît d'épaisseur dans le son en comparaison avec un 512R-502G de 1m60. Il semble y avoir aussi un peu plus de rapidité. L'équilibre est toujours là, le niveau d'émotivité n'est pas supérieur au 512R-502G, il se maintient.
Branché sur l'ampli à la place d'un 503G-503R, l'assise et le contrôle dans le grave semblent s'améliorer encore, le surcroit d'épaisseur est moins présent que sur le pré-phono mais on gagne en équilibre et qualité de timbres. Le verdict est une préférence pour cette version 512S-C004."
,Viborg 503Cu,"Seraient très similaires soniquement, mais la 503 est plus jolie.",,,"[Pat]: Cable ouvert, pétillant",,,,,,,,,,"[PA]: AVANT RODAGE (<20h)...Etonnante combinaison sur le TTS en IEC NCF. Un TTS rapide avec un controle du grave parfait, ça descend. Fonctionne bien sur alim linéaire. Va plus loin que le KubalaSosna Elation. Testé sur une barette secteur TCI plûtot énergique et déjà rapide. APRES RODAGE (72h), sécheresse apparente, manque de matière&douceur (vs Kubala Sosna Elation).",,,
